Country_Code,Name,Capacity_Mw,Latitude,Longitude
ARG,EL CADILLAL,14.0,-26.6156,-65.1929
ARG,EL CARRIZAL,17.0,-33.2993,-68.7199
ARG,EL CHOCON,1200.0,-39.2577,-68.7483
ARG,EL TIGRE,14.4,-34.61,-68.6136
ARG,EL TUNAL,11.0,-25.2323,-64.4762
ARG,EMBALSE,648.0,-32.2316,-64.4422
ARG,ESCABA,24.0,-27.6589,-65.7633
ARG,ESQUINA,2.215,-30.0102,-59.5321
ARG,EX CENTRAL BUENOS AIRES,321.0,-34.627,-58.3382
ARG,FILO MORADO,67.5,-37.2742,-69.652
ARG,FITZ SIMON,10.8,-32.1784,-64.4207
ARG,FLORENTINO AMEGHINO,60.0,-43.6996,-66.4815
ARG,FUTALEUFU,472.0,-43.1288,-71.63
ARG,GENERACION FRIAS SA,60.0,-28.6072,-65.1228
ARG,GENERAL ACHA,1.8,-37.4309,-64.716
ARG,GENERAL LEVALLE,72.78,-34.0364,-63.9217
ARG,GENERAL SAN MARTIN,6.0,-33.0449,-68.9219
ARG,GOYA,1.33,-29.1388,-59.2277
ARG,GOYA (ELECTROPATAGONIA SA),17.3,-29.1388,-59.2277
ARG,GUILLERMO CESPEDES,5.2,-39.56,-65.6817
ARG,H. PICHI PICUN LEUFU,285.0,-40.012,-69.9918
ARG,ISLA VERDE,3.115,-33.2422,-62.3946
ARG,ITA IBATE,1.052,-27.4252,-57.3341
ARG,ITUZAINGO,1.33,-27.5785,-56.6726
ARG,Iglesia-Guañizuil,80.0,-30.34,-69.27
ARG,JULIAN  ROMERO,6.2,-38.8367,-68.038
ARG,LA CRUZ,1.33,-29.1762,-56.6394
ARG,LA PLATA COGENERACION,128.0,-34.889,-57.9206
ARG,LA RIOJA,42.0,-29.3823,-66.8325
ARG,LA TABLADA,22.15,-27.4184,-55.9097
ARG,LA VIÑA,16.0,-31.8708,-65.0349
ARG,LAS MADERAS,30.0,-24.4438,-65.2203
ARG,LOS CORONELES (EX 25  DE MAYO),6.6000000000000005,-34.6,-68.5285
ARG,LOS MOLINOS I,59.04,-31.838,-64.4452
ARG,LOS MOLINOS II,4.5,-31.838,-64.4452
ARG,LOS QUIROGA,2.5,-27.6509,-64.3618
ARG,LOS REYUNOS,224.0,-34.6028,-68.6383
ARG,LUJAN DE CUYO,549.76,-33.0551,-68.981
ARG,MAR DE AJO,34.0,-36.7208,-63.1977
ARG,MAR DEL PLATA (9 DE JULIO),201.3,-38.0495,-57.546
ARG,MAYOR BURATOVICH,2.02,-39.2291,-62.6497
ARG,MBURUCUYA,1.035,-28.0441,-58.2285
ARG,MERCEDES,2.308,-29.1808,-58.0793
ARG,MODESTO MARANZANA,250.0,-33.1608,-64.3656
ARG,NECOCHEA,206.0,-38.5785,-58.7108
ARG,NIHUIL I,74.24,-34.9907,-68.6237
ARG,NIHUIL II,133.12,-34.9039,-68.6177
ARG,NIHUIL III,52.0,-34.8821,-68.576
ARG,NIHUIL IV,22.4,-34.833,-68.5168
ARG,NUEVA ESPERANZA,3.38,-26.2072,-64.2477
ARG,NUEVO PUERTO,1217.7,-34.5721,-58.3835
ARG,OBERA (TG Nº21 FIAT ),17.2,-27.5019,-55.1245
ARG,ORENSE,1.72,-38.6851,-59.7804
ARG,PARANA,845.26,-33.3549,-60.1718
ARG,PARQUE EOLICO ARAUCO SAPEM I,25.2,-28.6684,-66.7524
ARG,PARQUE EOLICO ARAUCO SAPEM II,25.2,-28.6684,-66.7524
ARG,PARQUE EOLICO DIADEMA,6.3,-45.7458,-67.6953
ARG,PARQUE EOLICO EL TORDILLO,3.0,-45.8507,-67.9081
ARG,PARQUE EOLICO LOMA BLANCA IV (ENARSA),50.0,-43.0907,-65.2298
ARG,PARQUE EOLICO RAWSON I (ENARSA),48.6,-43.3522,-65.1734
ARG,PARQUE EOLICO RAWSON II (ENARSA),28.8,-43.3522,-65.1734
ARG,PASO DE LOS LIBRES,2.135,-29.7148,-57.0933
ARG,PATAGONIA,123.7,-45.7934,-67.5145
