Country_Code,Name,Gppd_Idnr,Capacity_Mw,Latitude,Longitude
ARG,CT TEREVINTOS,ARG0000057,8.0,-28.4289,-65.7878
ARG,CT TINOGASTA,ARG0000058,15.0,-28.0486,-67.5667
ARG,CT TUCUMAN,ARG0000342,438.0,-26.9955,-65.166
ARG,CT VENADO TUERTO,ARG0000316,19.2,-33.7736,-61.9564
ARG,CT VIALE,ARG0000143,10.0,-31.8919,-60.0106
ARG,CT VILLA ANGELA,ARG0000061,15.0,-27.5808,-60.7094
ARG,CT VILLA REGINA,ARG0000261,5.0,-39.0872,-67.0881
ARG,CUESTA DEL VIENTO,ARG0000297,10.55,-30.1833,-69.0667
ARG,Cafayate,WKS0071212,80.0,-26.04,-65.93
ARG,Caldenes del Oeste,WKS0072494,30.0,-33.61,-65.445
ARG,Cauchari,WKS0068701,300.0,-23.8,-66.8
ARG,DEAN FUNES,ARG0000088,70.12,-31.3934,-64.2059
ARG,DIQUE,ARG0000157,68.44,-34.8902,-57.933
ARG,DOCK SUD,ARG0000158,872.3,-34.6533,-58.342
ARG,EL CADILLAL,ARG0000338,14.0,-26.6156,-65.1929
ARG,EL CARRIZAL,ARG0000196,17.0,-33.2993,-68.7199
ARG,EL CHOCON,ARG0000255,1200.0,-39.2577,-68.7483
ARG,EL TIGRE,ARG0000211,14.4,-34.61,-68.6136
ARG,EL TUNAL,ARG0000276,11.0,-25.2323,-64.4762
ARG,EMBALSE,ARG0000112,648.0,-32.2316,-64.4422
ARG,ESCABA,ARG0000339,24.0,-27.6589,-65.7633
ARG,ESQUINA,ARG0000119,2.215,-30.0102,-59.5321
ARG,EX CENTRAL BUENOS AIRES,ARG0000047,321.0,-34.627,-58.3382
ARG,FILO MORADO,ARG0000240,67.5,-37.2742,-69.652
ARG,FITZ SIMON,ARG0000089,10.8,-32.1784,-64.4207
ARG,FLORENTINO AMEGHINO,ARG0000079,60.0,-43.6996,-66.4815
ARG,FUTALEUFU,ARG0000080,472.0,-43.1288,-71.63
ARG,GENERACION FRIAS SA,ARG0000329,60.0,-28.6072,-65.1228
ARG,GENERAL ACHA,ARG0000182,1.8,-37.4309,-64.716
ARG,GENERAL LEVALLE,ARG0000090,72.78,-34.0364,-63.9217
ARG,GENERAL SAN MARTIN,ARG0000208,6.0,-33.0449,-68.9219
ARG,GOYA,ARG0000121,1.33,-29.1388,-59.2277
ARG,GOYA (ELECTROPATAGONIA SA),ARG0000137,17.3,-29.1388,-59.2277
ARG,GUILLERMO CESPEDES,ARG0000269,5.2,-39.56,-65.6817
ARG,H. PICHI PICUN LEUFU,ARG0000272,285.0,-40.012,-69.9918
ARG,ISLA VERDE,ARG0000091,3.115,-33.2422,-62.3946
ARG,ITA IBATE,ARG0000123,1.052,-27.4252,-57.3341
ARG,ITUZAINGO,ARG0000124,1.33,-27.5785,-56.6726
ARG,Iglesia-Guañizuil,WKS0072502,80.0,-30.34,-69.27
ARG,JULIAN  ROMERO,ARG0000270,6.2,-38.8367,-68.038
ARG,LA CRUZ,ARG0000125,1.33,-29.1762,-56.6394
ARG,LA PLATA COGENERACION,ARG0000164,128.0,-34.889,-57.9206
ARG,LA RIOJA,ARG0000188,42.0,-29.3823,-66.8325
ARG,LA TABLADA,ARG0000222,22.15,-27.4184,-55.9097
ARG,LA VIÑA,ARG0000094,16.0,-31.8708,-65.0349
ARG,LAS MADERAS,ARG0000169,30.0,-24.4438,-65.2203
ARG,LOS CORONELES (EX 25  DE MAYO),ARG0000209,6.6000000000000005,-34.6,-68.5285
ARG,LOS MOLINOS I,ARG0000096,59.04,-31.838,-64.4452
ARG,LOS MOLINOS II,ARG0000097,4.5,-31.838,-64.4452
ARG,LOS QUIROGA,ARG0000331,2.5,-27.6509,-64.3618
ARG,LOS REYUNOS,ARG0000212,224.0,-34.6028,-68.6383
ARG,LUJAN DE CUYO,ARG0000198,549.76,-33.0551,-68.981
ARG,MAR DE AJO,ARG0000006,34.0,-36.7208,-63.1977
ARG,MAR DEL PLATA (9 DE JULIO),ARG0000007,201.3,-38.0495,-57.546
ARG,MAYOR BURATOVICH,ARG0000015,2.02,-39.2291,-62.6497
ARG,MBURUCUYA,ARG0000128,1.035,-28.0441,-58.2285
ARG,MERCEDES,ARG0000129,2.308,-29.1808,-58.0793
ARG,MODESTO MARANZANA,ARG0000111,250.0,-33.1608,-64.3656
ARG,NECOCHEA,ARG0000008,206.0,-38.5785,-58.7108
ARG,NIHUIL I,ARG0000214,74.24,-34.9907,-68.6237
ARG,NIHUIL II,ARG0000215,133.12,-34.9039,-68.6177
ARG,NIHUIL III,ARG0000216,52.0,-34.8821,-68.576
ARG,NIHUIL IV,ARG0000213,22.4,-34.833,-68.5168
ARG,NUEVA ESPERANZA,ARG0000323,3.38,-26.2072,-64.2477
ARG,NUEVO PUERTO,ARG0000044,1217.7,-34.5721,-58.3835
ARG,OBERA (TG Nº21 FIAT ),ARG0000223,17.2,-27.5019,-55.1245
ARG,ORENSE,ARG0000016,1.72,-38.6851,-59.7804
ARG,PARANA,ARG0000001,845.26,-33.3549,-60.1718
ARG,PARQUE EOLICO ARAUCO SAPEM I,ARG0000192,25.2,-28.6684,-66.7524
ARG,PARQUE EOLICO ARAUCO SAPEM II,ARG0000193,25.2,-28.6684,-66.7524
ARG,PARQUE EOLICO DIADEMA,ARG0000081,6.3,-45.7458,-67.6953
ARG,PARQUE EOLICO EL TORDILLO,ARG0000082,3.0,-45.8507,-67.9081
ARG,PARQUE EOLICO LOMA BLANCA IV (ENARSA),ARG0000075,50.0,-43.0907,-65.2298
ARG,PARQUE EOLICO RAWSON I (ENARSA),ARG0000076,48.6,-43.3522,-65.1734
ARG,PARQUE EOLICO RAWSON II (ENARSA),ARG0000077,28.8,-43.3522,-65.1734
ARG,PASO DE LOS LIBRES,ARG0000132,2.135,-29.7148,-57.0933
ARG,PATAGONIA,ARG0000078,123.7,-45.7934,-67.5145
ARG,PERUGORRIA,ARG0000133,1.11,-29.34,-58.6077
ARG,PICO TRUNCADO - JORGE ROMANUTTI,ARG0000305,2.4,-46.8065,-67.9808
ARG,PICO TRUNCADO I,ARG0000304,45.6,-46.7842,-67.9498
