,Code,Fuel
659,TWN,Wind
660,TWN,Solar
661,TWN,Coal
662,TWN,Gas
663,TWN,Nuclear
664,TWN,Hydro
665,TWN,Oil
666,TJK,Hydro
667,TJK,Oil
668,TZA,Hydro
669,TZA,Oil
670,TZA,Gas
671,THA,Solar
672,THA,Gas
673,THA,Coal
674,THA,Hydro
675,THA,Wind
676,THA,Biomass
677,,
678,TGO,Oil
679,TGO,Hydro
680,TGO,Gas
681,,
682,,
683,TTO,Gas
684,TTO,Oil
685,TUN,Hydro
686,TUN,Gas
687,TUN,Wind
688,TUR,Solar
689,TUR,Coal
690,TUR,Gas
691,TUR,Geothermal
692,TUR,Hydro
693,TUR,Wind
694,TUR,Oil
695,TKM,Gas
696,TKM,Oil
697,,
698,,
699,UGA,Hydro
700,UGA,Solar
701,UGA,Biomass
702,UGA,Oil
703,UKR,Solar
704,UKR,Coal
705,UKR,Hydro
706,UKR,Gas
707,UKR,Nuclear
708,ARE,Gas
709,ARE,Solar
710,GBR,Biomass
711,GBR,Solar
712,GBR,Wind
713,GBR,Coal
714,GBR,Gas
715,GBR,Hydro
716,GBR,Waste
717,GBR,Storage
718,GBR,Oil
719,GBR,Nuclear
720,GBR,Wave and Tidal
721,GBR,Cogeneration
722,USA,Solar
723,USA,Gas
724,USA,Oil
725,USA,Hydro
726,USA,Wind
727,USA,Coal
728,USA,Biomass
729,USA,Waste
730,USA,Storage
731,USA,Cogeneration
732,USA,Geothermal
733,USA,Petcoke
734,USA,Nuclear
735,USA,Other
736,,
737,URY,Solar
738,URY,Biomass
739,URY,Wind
740,URY,Hydro
741,URY,Gas
742,URY,Oil
743,UZB,Hydro
744,UZB,Coal
745,UZB,Oil
746,UZB,Gas
747,UZB,Solar
748,,
749,VEN,Gas
750,VEN,Hydro
751,VNM,Hydro
752,VNM,Oil
753,VNM,Coal
754,VNM,Gas
755,VNM,Wind
756,VNM,Solar
757,VNM,Biomass
758,,
759,,
760,,
761,ESH,Oil
762,YEM,Oil
763,YEM,Gas
764,ZMB,Oil
765,ZMB,Hydro
766,ZMB,Solar
767,ZMB,Coal
768,ZMB,Biomass
769,ZWE,Coal
770,ZWE,Hydro
